,pickup_city,pickup_zip_code
164,Albessen,66871
165,Albig,55234
166,Albisheim,67308
167,Albrechts,98529
168,Albrechts,98529
169,Albrechtshof,17291
170,Albsfelde,23909
171,Albstadt,72458
172,Albstadt,72459
173,Albstadt,72461
174,Aldenhoven,52457
175,Aldersbach,94501
176,Aldingen,78554
177,Alerheim,86733
178,Alesheim,91793
179,Aletshausen,86480
180,Alf,56859
181,Alfdorf,73553
182,Alfeld,31061
183,Alfeld,91236
184,Alfhausen,49594
185,Alflen,56828
186,Alfstedt,27432
187,Alfter,53347
188,Algenstedt,39638
189,Algermissen,31191
190,Algertshausen,86926
191,Algesbüttel,38551
192,Algishofen,73453
193,Alheim,36211
194,Alikendorf,39398
195,Alken,56332
196,Alkersleben,99310
197,Alkersum,25938
198,Allenbach,55758
199,Allendorf,7426
200,Allendorf,35108
201,Allendorf,35469
202,Allendorf,56370
203,Allenfeld,55595
204,Allensbach,78476
205,Alleringersleben,39343
206,Allersberg,90584
207,Allersdorf,98701
208,Allershausen,85391
209,Alleshausen,88422
210,Alling,82239
211,Allmannshofen,86695
212,Allmannsweiler,88348
213,Allmendingen,89604
214,Allmenhausen,99713
215,Allmersbach,71573
216,Allmosen,1983
217,Allrode,6507
218,Allstedt,6542
219,Almdorf,25821
220,Almersbach,57610
221,Almosmühle,93449
222,Almstedt,31079
223,Alpen,46519
224,Alpenrod,57642
225,Alperstedt,99195
226,Alpirsbach,72275
227,Alsau,53547
228,Alsbach,56237
229,Alsbach-Hähnlein,64665
230,Alsdorf,52477
231,Alsdorf,54668
232,Alsdorf,57518
233,Alsenz,67821
234,Alsfeld,36304
235,Alsheim,67577
236,Alsleben,6425
237,Alt Bennebek,24848
238,Alt Bork,14822
239,Alt Brieselang,14656
240,Alt Bukow,18233
241,Alt Duvenstedt,24791
242,Alt Golm,15526
243,Alt Jabel,19303
244,Alt Karin,18236
245,Alt Kätwin,18299
246,Alt Krenzlin,19288
247,Alt Krüssow,16928
248,Alt Lanschvitz,18581
249,Alt Lutterow,16837
250,Alt Madlitz,15518
251,Alt Mahlisch,15306
252,Alt Meteln,19069
253,Alt Mölln,23881
254,Alt Necheln,19412
255,Alt Poorstorf,23992
256,Alt Rehse,17217
257,Alt Ruppin,16827
258,Alt Schönau,17192
259,Alt Schwerin,17214
260,Alt Stahnsdorf,15859
261,Alt Tellin,17129
262,Alt Tucheband,15328
263,Alt Zachun,19230
264,Alt Zauche,15913
265,Altbach,73776
266,Altbarnim,15320
267,Altbrand,76726
268,Altbrandsleben,39387
269,Altdöbern,3229
270,Altdorf,67482
271,Altdorf,71155
272,Altdorf,72655
273,Altdorf,84032
274,Altdorf,90518
275,Altefähr,18573
276,Alteglofsheim,93087
277,Altena,58762
278,Altenahr,53505
279,Altenau,4931
280,Altenau,38707
281,Altenbach,4828
282,Altenbamberg,55585
283,Altenbeken,33184
284,Altenberg,1773
285,Altenberga,7768
286,Altenberge,48341
287,Altenbeuthen,7338
288,Altenbrak,38889
289,Altenbuch,97901
290,Altenburg,4600
291,Altendambach,98553
292,Altendiez,65624
293,Altendorf,1855
294,Altendorf,92540
295,Altendorf,96146
296,Altenfeld,98701
297,Altengesees,7356
298,Altenglan,66885
299,Altengottern,99991
300,Altenhagen,17091
301,Altenhagen,18236
302,Altenhausen,39343
303,Altenhof,16244
304,Altenhof,17209
305,Altenhof,24340
306,Altenhof,54636
307,Altenhof,54655
308,Altenhof,67677
309,Altenholz,24161
310,Altenholz,24161
311,Altenkirchen,18556
312,Altenkirchen,57610
313,Altenkirchen,66903
314,Altenkrempe,23730
315,Altenkunstadt,96264
316,Altenmarkt,83352
317,Altenmedingen,29575
318,Altenmoor,25335
319,Altenmünster,86450
320,Altenpleen,18445
321,Altenriet,72657
322,Altenroda,6642
323,Altensalzwedel,29416
324,Altenstadt,63674
325,Altenstadt,86972
326,Altenstadt,89281
327,Altenstadt,92665
328,Altensteig,72213
329,Altenthann,93177
330,Altentreptow,17087
331,Altenweddingen,39171
332,Altenzaun,39596
333,Alterkülz,56288
334,Alterode,6543
335,Altersbach,98587
336,Altertheim,97237
337,Altes Forsthaus,56130
338,Altes Lager,14913
339,Altfraunhofen,84169
340,Altfriedland,15320
341,Altfriesack,16818
342,Alt-Galow,16278
343,Altgersdorf,16259
344,Altglietzen,16259
345,Althegnenberg,82278
346,Altheim,88499
347,Altheim,89174
348,Altheim,89605
349,Altheimersberg,91788
350,Althengstett,75382
351,Althornbach,66484
352,Althütte,71566
353,Althüttendorf,16247
354,Altjeßnitz,6800
355,Altkalen,17179
356,Altkirchen,4626
357,Altkünkendorf,16278
358,Altlandsberg,15345
359,Altlay,56858
360,Altleiningen,67317
361,Altlewin,16259
362,Altlüdersdorf,16775
363,Altlußheim,68804
364,Altmachern,54492
365,Altmädewitz,16259
366,Altmannstein,93336
367,Altmersleben,39624
368,Altmittweida,9648
369,Altomünster,85250
370,Altona,19294
371,Altottenhain,4643
372,Altötting,84503
373,Altreetz,16259
374,Altrich,54518
375,Altrip,67122
376,Alt-Schadow,15910
377,Altscheid,54636
378,Altshausen,88361
379,Altstrimmig,56858
380,Alt-Sührkow,17166
381,Altthymen,16798
382,Alttrebbin,16259
383,Altusried,87452
384,Altwarp,17375
385,Altweidelbach,55469
386,Altwigshagen,17379
387,Altwittenbek,24214
388,Altwustrow,16259
389,Alveslohe,25486
390,Alzenau,63755
391,Alzey,55232
392,Am Jägerberg,21227
393,Am Quicken,82493
394,Am Rainberge,34497
395,Am Römerhof,61200
396,Am Römerschacht,61200
397,Am Rönndeich,21706
398,Am Rüdesheimer Hafen,65385
399,Am Sandkopf,34127
400,Am Sandweiher,66849
401,Am Springberg,76889
402,Am Tekenberge,38350
403,Amalienfelde,16766
404,Amberg,86854
405,Amberg,92224
406,Amelinghausen,21385
407,Amerang,83123
408,Amerdingen,86735
409,Amesdorf,39439
410,Ammeldingen,54673
411,Ammeldingen,54675
412,Ammelstädt,7407
413,Ammerbuch,72119
414,Ammern,99974
415,Ammerndorf,90614
416,Ammersbek,22949
417,Ammerthal,92260
418,Amöneburg,35287
419,Amorbach,63916
420,Ampfing,84539
421,Ampfurth,39387
422,Amsdorf,6317
423,Amselgraben,83329
424,Amstetten,73340
425,Amtsberg,9439
426,Amtzell,88279
427,An der Chaussee,25840
428,An der Rhumequelle,37434
429,Andechs,82346
430,Andenhausen,36452
431,Anderbeck,38836
432,Anderlingen,27446
433,Andernach,56626
434,Andervenne,49832
435,Andisleben,99189
436,Andrichstadt,83364
437,Angelbachtal,74918
438,Angelburg,35719
439,Angelhof I u. II,67346
440,Angelroda,99338
441,Anger,83454
442,Anger,83565
443,Angermünde,16278
444,Angern,39326
445,Angersdorf,6179
446,Angl,83739
447,Anhausen,56584
448,Ankermühle,37308
449,Ankershagen,17219
450,Anklam,17389
451,Ankum,49577
452,Anna Luisenhof,18239
453,Annaberg,67098
454,Annaberg-Buchholz,9456
455,Annaburg,6925
456,Annahütte,1994
457,Annarode,6308
458,Anning,83368
459,Annweiler,76855
460,Anröchte,59609
461,Ansbach,91522
462,Anschau,56729
463,Antdorf,82387
464,Antrifttal,36326
465,Antweiler,53533
466,Anzing,85646
467,Apelern,31552
468,Apen,26689
469,Apenburg,38486
470,Apensen,21641
471,Apfeldorf,86974
472,Apfelstädt,99192
473,Apfeltrach,87742
474,Apolda,99510
475,Appel,21279
476,Appelbeck,21279
477,Appeln,27616
478,Appen,25482
479,Appenheim,55437
480,Appenrode,99768
481,Appensee,74597
482,Appenweier,77767
483,Apperting,83376
484,Arbach,56769
485,Arberg,91722
486,Aremberg,53533
487,Arendsee,17291
488,Arendsee,39619
489,Arenrath,54518
490,Arensdorf,6369
491,Arensdorf,15518
492,Arenshausen,37318
493,Arensnest,14827
494,Arenzhain,3253
495,Aresing,86561
496,Arft,56729
497,Argenbühl,88260
498,Argenschwang,55595
499,Argenthal,55496
500,Arholzen,37627
501,Arkebek,25767
502,Arleting,83374
503,Arlewatt,25860
504,Armsheim,55288
505,Armstedt,24616
506,Armstorf,21769
507,Arnbruck,93471
508,Arneburg,39596
509,Arnis,24399
510,Arnsau,53547
511,Arnsbach,7330
512,Arnsberg,59755
513,Arnsberg,59757
514,Arnsberg,59759
515,Arnsberg,59821
516,Arnsberg,59823
517,Arnschwang,93473
518,Arnsdorf,1477
519,Arnsdorf,6917
520,Arnsgereuth,7318
521,Arnsgrün,7952
522,Arnshöfen,56244
523,Arnsnesta,4916
524,Arnstadt,99310
525,Arnstedt,6333
526,Arnstein,56379
527,Arnstein,97450
528,Arnstorf,94424
529,Arpsdorf,24634
530,Arpshagen,23948
531,Arrach,93474
532,Arras,9326
533,Artamhof,66849
534,Artern,6556
535,Artlenburg,21380
536,Arzbach,56337
537,Arzberg,4886
538,Arzberg,95659
539,Arzfeld,54687
540,Asbach,53567
541,Asbach,55758
542,Asbach,89522
543,Asbach,98574
544,Asbach-Bäumenheim,86663
545,Asbacherhütte,55758
546,Asbach-Sickenberg,37318
547,Ascha,94347
548,Aschaffenburg,63739
549,Aschaffenburg,63741
550,Aschaffenburg,63743
551,Aschara,99958
552,Aschau,7426
553,Aschau,83229
554,Aschau,84544
555,Aschbach,67753
556,Aschbach,83739
557,Ascheberg,24326
558,Ascheberg,59387
559,Ascheffel,24358
560,Aschendorf,26871
561,Aschenhausen,98634
562,Aschenhütte,37412
563,Aschersleben,6449
564,Aschheim,85609
565,Aseleben,6317
566,Asendorf,21271
567,Asendorf,27330
568,Aspach,71546
569,Aspach,99880
570,Aspelhorn,21388
571,Aspenstedt,38822
572,Asperg,71679
573,Aspisheim,55459
574,Assamstadt,97959
575,Asselfingen,89176
576,Aßlar,35614
577,Aßling,85617
578,Ast,83565
579,Ast,93449
580,Astert,57627
581,Ateritz,6901
582,Athenstedt,38822
583,Attendorn,57439
584,Attenhausen,56370
585,Attenhofen,84091
586,Attenkirchen,85395
587,Attenweiler,88448
588,Atterwasch,3172
589,Atting,94348
590,Atzelgift,57629
591,Atzendorf,39443
592,Atzlbach,83364
593,Au,76474
594,Au,79280
595,Au,83364
596,Au,83546
597,Au,84072
598,Aub,97239
599,Aubstadt,97633
600,Audenhain,4838
601,Auderath,56766
602,Aue,8280
603,Aue a Berg,7318
604,Auel,56357
605,Auen,55569
606,Auenwald,71549
607,Auerbach,8209
608,Auerbach,9392
609,Auerbach,91275
610,Auerbach,94530
611,Auerberg,95703
612,Auerstedt,99518
613,Auetal,31749
614,Aufhausen,93089
615,Aufkirchen,82282
616,Aufseß,91347
617,Auggen,79424
618,Augsburg,86150
619,Augsburg,86152
620,Augsburg,86153
621,Augsburg,86154
622,Augsburg,86156
623,Augsburg,86157
624,Augsburg,86159
625,Augsburg,86161
626,Augsburg,86163
627,Augsburg,86165
628,Augsburg,86167
629,Augsburg,86169
630,Augsburg,86179
631,Augsburg,86199
632,Augsdorf,6308
633,Augustdorf,32832
634,Augustusburg,9573
635,Auhagen,31553
636,Auhausen,86736
637,Auhof,74564
638,Aukrug,24613
639,Auleben,99765
640,Aulendorf,88326
641,Aull,65582
642,Aulosen,39615
643,Auma,7955
644,Aumühle,21521
645,Aura,97717
646,Aura,97773
647,Aurach,91589
648,Aurachtal,91086
649,Aurich,26603
650,Aurich,26605
651,Aurich,26607
652,Ausacker,24975
653,Ausleben,39393
654,Außernzell,94532
655,Authausen,4849
656,Auufer,25548
657,Auw,54597
658,Auw,54664
659,Auwies,94568
660,Aventoft,25927
661,Averlak,25715
662,Axien,6922
663,Axstedt,27729
664,Aying,85653
665,Ayl,54441
666,Aystetten,86482
667,Azmannsdorf,99198
668,Azmannsdorf,99198
669,Baabe,18586
670,Baalberge,6408
671,Baar,56729
672,Baar,86674
673,Baar-Ebenhausen,85107
674,Baarz,19309
675,Baasdorf,6388
676,Babben,3246
677,Bäbelin,23992
678,Baben,39596
679,Babenhausen,64832
680,Babenhausen,87727
681,Babensham,83547
682,Babke,17237
683,Babst,23992
684,Bach,4828
685,Bach,83364
686,Bach,83739
687,Bach,93090
688,Bacharach,55422
689,Bachenberg,57610
690,Bachfeld,96528
691,Bachhagel,89429
692,Bächingen,89431
693,Bachzelten,84428
694,Backnang,71522
695,Bad Abbach,93077
696,Bad Aibling,83043
697,Bad Alexandersbad,95680
698,Bad Arolsen,34454
699,Bad Bayersoien,82435
700,Bad Bederkesa,27624
701,Bad Bellingen,79415
702,Bad Bentheim,48455
703,Bad Bergzabern,76887
704,Bad Berka,99438
705,Bad Berleburg,57319
706,Bad Berneck,95460
707,Bad Bertrich,56864
708,Bad Bevensen,29549
709,Bad Bibra,6647
710,Bad Birnbach,84364
711,Bad Blankenburg,7422
712,Bad Bocklet,97708
713,Bad Bodenteich,29389
714,Bad Brambach,8648
715,Bad Bramstedt,24576
716,Bad Breisig,53498
717,Bad Brückenau,97769
718,Bad Buchau,88422
719,Bad Camberg,65520
720,Bad Colberg-Heldburg,98663
721,Bad Ditzenbach,73342
722,Bad Doberan,18209
723,Bad Driburg,33014
724,Bad Düben,4849
725,Bad Dürkheim,67098
726,Bad Dürrenberg,6231
727,Bad Dürrheim,78073
728,Bad Eilsen,31707
729,Bad Elster,8645
730,Bad Ems,56130
731,Bad Emstal,34308
732,Bad Endbach,35080
733,Bad Endorf,83093
734,Bad Essen,49152
735,Bad Feilnbach,83075
736,Bad Frankenhausen,6567
737,Bad Freienwalde,16259
738,Bad Friedrichshall,74177
739,Bad Füssing,94072
740,Bad Gandersheim,37581
741,Bad Gottleuba,1816
742,Bad Griesbach,94086
743,Bad Grönenbach,87730
744,Bad Grund,37539
745,Bad Harzburg,38667
746,Bad Heilbrunn,83670
747,Bad Herrenalb,76332
748,Bad Hersfeld,36251
749,Bad Homburg,61348
750,Bad Homburg,61350
751,Bad Homburg,61352
752,Bad Honnef,53604
753,Bad Hönningen,53557
754,Bad Iburg,49186
755,Bad Karlshafen,34385
756,Bad Kissingen,97688
757,Bad Kleinen,23996
758,Bad Klosterlausnitz,7639
759,Bad Kohlgrub,82433
760,Bad König,64732
761,Bad Königshofen,97631
762,Bad Kösen,6628
763,Bad Köstritz,7586
764,Bad Kreuznach,55543
765,Bad Kreuznach,55545
766,Bad Krozingen,79189
767,Bad Laasphe,57334
768,Bad Laer,49196
769,Bad Langensalza,99947
770,Bad Lauchstädt,6246
771,Bad Lausick,4651
772,Bad Lauterberg,37431
773,Bad Liebenstein,36448
774,Bad Liebenwerda,4924
775,Bad Liebenzell,75378
776,Bad Lippspringe,33175
777,Bad Marienberg,56470
778,Bad Mergentheim,97980
779,Bad Münder,31848
780,Bad Münster-Ebernburg,55583
781,Bad Münstereifel,53902
782,Bad Muskau,2953
783,Bad Nauheim,61231
784,Bad Nenndorf,31542
785,Bad Neuenahr-Ahrweiler,53474
786,Bad Neustadt,97616
787,Bad Oeynhausen,32545
788,Bad Oeynhausen,32547
789,Bad Oeynhausen,32549
790,Bad Oldesloe,23843
791,Bad Orb,63619
792,Bad Peterstal-Griesbach,77740
793,Bad Pyrmont,31812
794,Bad Rappenau,74906
795,Bad Reichenhall,83435
796,Bad Rippoldsau-Schapbach,77776
797,Bad Rodach,96476
798,Bad Rothenfelde,49214
799,Bad Saarow-Pieskow,15526
800,Bad Sachsa,37441
801,Bad Säckingen,79713
802,Bad Salzdetfurth,31162
803,Bad Salzschlirf,36364
804,Bad Salzuflen,32105
805,Bad Salzuflen,32107
806,Bad Salzuflen,32108
807,Bad Salzungen,36433
808,Bad Sassendorf,59505
809,Bad Saulgau,88348
810,Bad Schandau,1814
811,Bad Schmiedeberg,6905
812,Bad Schönborn,76669
813,Bad Schussenried,88427
814,Bad Schwalbach,65307
815,Bad Schwartau,23611
816,Bad Segeberg,23795
817,Bad Sobernheim,55566
818,Bad Soden,65812
819,Bad Soden-Salmünster,63628
820,Bad Sooden-Allendorf,37242
821,Bad Staffelstein,96231
822,Bad Steben,95138
823,Bad Suderode,6507
824,Bad Sulza,99518
825,Bad Sülze,18334
826,Bad Teinach-Zavelstein,75385
827,Bad Tennstedt,99955
828,Bad Tölz,83646
829,Bad Überkingen,73337
830,Bad Urach,72574
831,Bad Vilbel,61118
832,Bad Waldsee,88339
833,Bad Wiessee,83707
834,Bad Wildbad,75323
835,Bad Wildungen,34537
836,Bad Wilsnack,19336
837,Bad Wimpfen,74206
838,Bad Windsheim,91438
839,Bad Wörishofen,86825
840,Bad Wünnenberg,33181
841,Bad Wurzach,88410
842,Bad Zwesten,34596
843,Bad Zwischenahn,26160
844,Badbergen,49635
845,Baddeckenstedt,38271
846,Badeborn,6493
847,Badekow,19258
848,Badel,39624
849,Badem,54657
850,Baden-Baden,76530
851,Baden-Baden,76532
852,Baden-Baden,76534
853,Badendorf,23619
854,Badenhard,56291
855,Badenhausen,37534
856,Badenheim,55576
857,Badenmühle,18209
858,Badenweiler,79410
859,Badersleben,38836
860,Badingen,16775
861,Badingen,39579
862,Badisch Schöllenbach,64754
863,Badow,19209
864,Badra,99706
865,Baek,19348
866,Baesweiler,52499
867,Bagemühl,17326
868,Bagenz,3130
869,Bagow,14778
870,Bahlenhüschen,19089
871,Bahlingen,79353
872,Bahnhof Zimmernsupra-Töttelstädt,99100
873,Bahnhof Zimmernsupra-Töttelstädt,99100
874,Bahnitz,14715
875,Bahnsdorf,1983
876,Bahnsdorf,4895
877,Bahnstock,88441
878,Bahratal,1816
879,Bahrdorf,38459
880,Bahren,3249
881,Bahrenborstel,27245
882,Bahrendorf,39171
883,Bahrenfleth,25569
884,Bahrenhof,23845
885,Bahrenhorst,18211
886,Bahretal,1819
887,Bahro,15898
888,Baienfurt,88255
889,Baierbach,84171
890,Baierbrunn,82065
891,Baierhof,73079
892,Baiern,85625
893,Baiersbronn,72270
894,Baiersdorf,91083
895,Baindt,88255
896,Baisweil,87650
897,Baitz,14806
898,Bäk,23909
899,Bakum,49456
900,Bälau,23881
901,Balderschwang,87538
902,Baldham,85598
903,Baldringen,54314
904,Balduinstein,65558
905,Balesfeld,54597
906,Balge,31609
907,Balgheim,78582
908,Balgstädt,6632
909,Balingen,72336
910,Balje,21730
911,Balkenkoppel,18320
912,Ballendorf,89177
913,Ballenstedt,6493
914,Ballerstedt,39606
915,Ballhausen,99955
916,Ballrechten-Dottingen,79282
917,Ballstädt,99869
918,Ballstedt,99439
919,Balow,19300
920,Bälow,19322
921,Baltmannsweiler,73666
922,Baltrum,26579
923,Balve,58802
924,Balzhausen,86483
925,Balzheim,88481
926,Bamberg,96047
927,Bamberg,96049
928,Bamberg,96050
929,Bamberg,96052
930,Bamme,14715
931,Bammental,69245
932,Bandau,38486
933,Bandekow,19249
934,Bandekow,19273
935,Bandelin,17506
936,Bandenitz,19230
937,Bandow,18258
938,Bann,66851
939,Bannberscheid,56424
940,Bannesdorf,23769
941,Bannewitz,1728
942,Banteln,31029
943,Bantikow,16868
944,Bantin,19246
945,Banzendorf,16835
946,Banzenhof,54619
947,Banzin,19260
948,Banzkow,19079
949,Barbelroth,76889
950,Barbing,93092
951,Barby,39249
952,Barchfeld,36456
953,Bardenitz,14913
954,Bardowick,21357
955,Bärenbach,55483
956,Bärenbach,55758
957,Bärenbach,73655
958,Bärenbrunnerhof,66996
959,Bärenbrunnermühle,66996
960,Barenburg,27245
961,Barendorf,21397
962,Barendorf,23936
963,Bärenhof,73529
964,Bärenklau,3172
965,Bärenklau,16727
966,Bärenstein,1768
967,Bärenstein,9471
968,Bärenthal,78580
969,Barenthin,16866
970,Bargenstedt,25704
971,Bargfeld-Stegen,23863
972,Bargholz,25563
973,Bargischow,17398
974,Bargstall,24806
975,Bargstedt,21698
976,Bargstedt,24793
977,Bargteheide,22941
978,Bargum,25842
979,Bark,23826
980,Barkelsby,24360
981,Barkenholm,25791
982,Barkhorn,24863
983,Barkow,19395
984,Barleben,39179
985,Barlt,25719
986,Barmissen,24245
987,Barmstedt,25355
988,Bärnau,95671
989,Barneberg,39393
990,Barnekow,23968
991,Barnewitz,14715
992,Barnin,19089
993,Barnitz,23858
994,Bärnsdorf,1471
995,Barnstädt,6268
996,Barnstedt,21406
997,Barnstorf,49406
998,Barntrup,32683
999,Barsbek,24217
1000,Barsbüttel,22885
1001,Barsdorf,16775
1002,Barsikow,16845
1003,Barsinghausen,30890
1004,Barßel,26676
1005,Bartelshagen II,18314
1006,Bartenshagen,18209
1007,Bartensleben,39343
1008,Barth,18356
1009,Bartholomä,73566
1010,Bartow,17089
1011,Barum,21357
1012,Barum,29576
1013,Baruth,15837
1014,Barver,49453
1015,Bärwalde,14913
1016,Barwedel,38476
1017,Barweiler,53534
1018,Bärweiler,55606
1019,Barzig,1994
1020,Basberg,54578
1021,Basdahl,27432
1022,Basdorf,16352
1023,Basdorf,16818
1024,Basedow,17139
1025,Basedow,21483
1026,Bassenheim,56220
1027,Bassum,27211
1028,Bastheim,97654
1029,Basthorst,21493
1030,Bastorf,18230
1031,Battaune,4838
1032,Battenberg,35088
1033,Battenberg,67271
1034,Battgendorf,99625
1035,Battin,6917
1036,Battinsthal,17328
1037,Battweiler,66484
1038,Batzlow,15377
1039,Bauda,1561
1040,Baudenbach,91460
1041,Bauerbach,98617
1042,Bauerkuhl,19372
1043,Bauler,53534
1044,Bauler,54673
1045,Baumersroda,6632
1046,Baumgarten,16775
1047,Baumgarten,18246
1048,Baumholder,55774
1049,Baunach,96148
1050,Baunatal,34225
1051,Bausendorf,54538
1052,Baustert,54636
1053,Bautzen,2625
1054,Bawinkel,49844
1055,Bayerbach,84092
1056,Bayerbach,94137
1057,Bayerfeld-Steckweiler,67808
1058,Bayerisch Eisenstein,94252
1059,Bayerisch Gmain,83457
1060,Bayreuth,95444
1061,Bayreuth,95445
1062,Bayreuth,95447
1063,Bayreuth,95448
1064,Bayrischzell,83735
1065,Bebendorf,37308
1066,Bebensee,23816
1067,Beberstedt,99976
1068,Bebertal,39343
1069,Beblinstetten,87770
1070,Bebra,36179
1071,Becheln,56132
1072,Bechelsdorf,23923
1073,Bechenheim,55234
1074,Becherbach,55608
1075,Becherbach,67827
1076,Bechhofen,66894
1077,Bechhofen,91572
1078,Bechstedt,7426
1079,Bechstedtstraß,99428
1080,Bechtheim,67595
1081,Bechtolsheim,55234
1082,Bechtsrieth,92699
1083,Beckdorf,21643
1084,Beckedorf,31699
1085,Beckedorfer Schacht,31698
1086,Beckeln,27243
1087,Beckendorf,39393
1088,Beckenhof,66955
1089,Beckenkrug,17194
1090,Beckentin,19300
1091,Beckingen,66701
1092,Beckum,59269
1093,Bedburg,50181
1094,Bedburg-Hau,47551
1095,Bedesbach,66885
1096,Beedenbostel,29355
1097,Beelen,48361
1098,Beelitz,14547
1099,Beelitz,39596
1100,Beendorf,39343
1101,Beenz,17258
1102,Beerbaum,16259
1103,Beerfelde,15518
1104,Beerfelden,64743
1105,Beesdau,15926
1106,Beesenlaublingen,6425
1107,Beesenstedt,6198
1108,Beeskow,15848
1109,Beesten,49832
1110,Beestland,17111
1111,Beetz,16766
1112,Beetzendorf,38489
1113,Beggerow,17111
1114,Behlendorf,23919
1115,Behlow,15868
1116,Behnkendorf,18510
1117,Behnsdorf,39356
1118,Behrendorf,25850
1119,Behrendorf,39606
1120,Behrenhoff,17498
1121,Behren-Lübchin,17179
1122,Behrensdorf,15864
1123,Behrensdorf,24321
1124,Behringen,99326
1125,Behringen,99947
1126,Behringer Schenke,99326
1127,Behrungen,98631
1128,Bei den Tongruben,63543
1129,Beicha,4720
1130,Beichlingen,99625
1131,Beidendorf,23996
1132,Beidenfleth,25573
1133,Beierfeld,8340
1134,Beiersdorf,2736
1135,Beiersdorf,4924
1136,Beiersdorf,16259
1137,Beierstedt,38382
1138,Beilingen,54662
1139,Beilngries,92339
1140,Beilrode,4886
1141,Beilstein,56814
1142,Beilstein,71717
1143,Beimerstetten,89179
1144,Beindersheim,67259
1145,Beinerstadt,98660
1146,Beinhausen,54552
1147,Bekdorf,25554
1148,Bekmünde,25524
1149,Bekond,54340
1150,Belau,24601
1151,Beldorf,25557
1152,Belg,56858
