Ort;Zusatz;Plz;Vorwahl;Bundesland
Amalienfelde;;16766;33055;Brandenburg
Amberg;b Buchloe;86854;8241;Bayern
Amberg;, Oberpf;92224;9621;Bayern
Amelinghausen;;21385;4132;Niedersachsen
Amerang;;83123;8075;Bayern
Amerdingen;;86735;9008;Bayern
Amesdorf;;39439;39262;Sachsen-Anhalt
Ammeldingen;bei Neuerburg;54673;6564;Rheinland-Pfalz
Ammeldingen;an der Our;54675;6566;Rheinland-Pfalz
Ammelstädt;;7407;3672;Thüringen
Ammerbuch;;72119;7073;Baden-Württemberg
Ammern;;99974;3601;Thüringen
Ammerndorf;;90614;9127;Bayern
Ammersbek;;22949;4532;Schlewig-Holstein
Ammerthal;, Oberpf;92260;9628;Bayern
Amöneburg;;35287;6429;Hessen
Amorbach;;63916;9373;Bayern
Ampfing;;84539;8636;Bayern
Ampfurth;;39387;39407;Sachsen-Anhalt
Amsdorf;;6317;34601;Sachsen-Anhalt
Amselgraben;b Waging a See;83329;;Bayern
Amstetten;, Württ;73340;7331;Baden-Württemberg
Amtsberg;;9439;37209;Sachsen
Amtzell;;88279;7520;Baden-Württemberg
An der Chaussee;b Friedrichstadt, Eider;25840;;Schlewig-Holstein
An der Rhumequelle;b Gieboldehausen;37434;;Niedersachsen
Andechs;;82346;8152;Bayern
Andenhausen;;36452;36964;Thüringen
Anderbeck;;38836;39422;Sachsen-Anhalt
Anderlingen;;27446;4284;Niedersachsen
Andernach;;56626;2632;Rheinland-Pfalz
Andervenne;;49832;5902;Niedersachsen
Andisleben;;99189;36201;Thüringen
Andrichstadt;;83364;8662;Bayern
Angelbachtal;;74918;7265;Baden-Württemberg
Angelburg;, Hess;35719;6464;Hessen
Angelhof I u. II;;67346;;Rheinland-Pfalz
Angelroda;;99338;36207;Thüringen
Anger;b Bad Reichenhall;83454;8656;Bayern
Anger;, Gem Frauenneuharting;83565;8656;Bayern
Angermünde;;16278;3331;Brandenburg
Angern;b Wolmirstedt;39326;39363;Sachsen-Anhalt
Angersdorf;b Halle, Saale;6179;345;Sachsen-Anhalt
Angl;b Wörnsmühl;83739;8064;Bayern
Anhausen;, Kr Neuwied;56584;2639;Rheinland-Pfalz
Ankermühle;b Heilbad Heiligenstadt;37308;;Thüringen
Ankershagen;;17219;39921;Mecklenburg-Vorpommern
Anklam;;17389;3971;Mecklenburg-Vorpommern
Ankum;;49577;5462;Niedersachsen
Anna Luisenhof;;18239;38207;Mecklenburg-Vorpommern
Annaberg;b Bad Dürkheim;67098;;Rheinland-Pfalz
Annaberg-Buchholz;;9456;3733;Sachsen
Annaburg;, Sachs-Anh;6925;35385;Sachsen-Anhalt
Annahütte;;1994;35754;Brandenburg
Annarode;;6308;34772;Sachsen-Anhalt
Anning;b St Georgen, Chiemgau;83368;8621;Bayern
Annweiler;am Trifels;76855;6346;Rheinland-Pfalz
Anröchte;;59609;2947;Nordrhein-Westfalen
Ansbach;, Mittelfr;91522;981;Bayern
Anschau;;56729;2656;Rheinland-Pfalz
Antdorf;;82387;8856;Bayern
Antrifttal;;36326;6692;Hessen
Antweiler;b Adenau;53533;2693;Rheinland-Pfalz
Anzing;b München;85646;8121;Bayern
Apelern;;31552;5043;Niedersachsen
Apen;;26689;4489;Niedersachsen
Apenburg;;38486;39001;Sachsen-Anhalt
Apensen;;21641;4167;Niedersachsen
Apfeldorf;;86974;8869;Bayern
Apfelstädt;;99192;36202;Thüringen
Apfeltrach;;87742;8261;Bayern
Apolda;;99510;3644;Thüringen
Appel;, Nordheide;21279;4168;Niedersachsen
Appelbeck;;21279;4165;Niedersachsen
Appeln;;27616;4747;Niedersachsen
Appen;, Kr Pinneberg;25482;4101;Schlewig-Holstein
Appenheim;, Rheinhess;55437;6725;Rheinland-Pfalz
Appenrode;b Ellrich;99768;36331;Thüringen
Appensee;;74597;7967;Baden-Württemberg
Appenweier;;77767;7805;Baden-Württemberg
Apperting;;83376;8667;Bayern
Arbach;;56769;2657;Rheinland-Pfalz
Arberg;;91722;9822;Bayern
Aremberg;, Eifel;53533;2693;Rheinland-Pfalz
Arendsee;b Prenzlau;17291;39855;Brandenburg
Arendsee;(Altmark);39619;39384;Sachsen-Anhalt
Arenrath;;54518;6575;Rheinland-Pfalz
Arensdorf;b Köthen, Anh;6369;34975;Sachsen-Anhalt
Arensdorf;b Fürstenwalde, Spree;15518;33635;Brandenburg
Arenshausen;;37318;36081;Thüringen
Arensnest;;14827;33849;Brandenburg
Arenzhain;;3253;35322;Brandenburg
Aresing;, Oberbay;86561;8252;Bayern
Arft;;56729;2655;Rheinland-Pfalz
Argenbühl;;88260;7566;Baden-Württemberg
Argenschwang;;55595;6706;Rheinland-Pfalz
Argenthal;;55496;6761;Rheinland-Pfalz
Arholzen;;37627;5532;Niedersachsen
Arkebek;;25767;4835;Schlewig-Holstein
Arleting;;83374;8669;Bayern
Arlewatt;;25860;4846;Schlewig-Holstein
Armsheim;, Rheinhess;55288;6734;Rheinland-Pfalz
Armstedt;;24616;4324;Schlewig-Holstein
Armstorf;, Niederelbe;21769;4773;Niedersachsen
Arnbruck;;93471;9945;Bayern
Arneburg;;39596;39321;Sachsen-Anhalt
Arnis;;24399;4642;Schlewig-Holstein
Arnsau;;53547;2638;Rheinland-Pfalz
Arnsbach;b Probstzella;7330;36731;Thüringen
Arnsberg;, Westf;59755;2931;Nordrhein-Westfalen
Arnsberg;, Westf;59757;2931;Nordrhein-Westfalen
Arnsberg;, Westf;59759;2931;Nordrhein-Westfalen
Arnsberg;, Westf;59821;2931;Nordrhein-Westfalen
Arnsberg;, Westf;59823;2931;Nordrhein-Westfalen
Arnschwang;;93473;9977;Bayern
Arnsdorf;b Dresden;1477;35200;Sachsen
Arnsdorf;b Jessen, Elster;6917;3537;Sachsen-Anhalt
Arnsgereuth;;7318;36736;Thüringen
Arnsgrün;b Zeulenroda;7952;37431;Thüringen
Arnshöfen;;56244;2666;Rheinland-Pfalz
Arnsnesta;;4916;3535;Brandenburg
Arnstadt;;99310;3628;Thüringen
Arnstedt;;6333;34785;Sachsen-Anhalt
Arnstein;, Kloster, Lahn;56379;;Rheinland-Pfalz
Arnstein;, Unterfr;97450;9363;Bayern
Arnstorf;;94424;8723;Bayern
Arpsdorf;;24634;4324;Schlewig-Holstein
Arpshagen;;23948;38825;Mecklenburg-Vorpommern
Arrach;, Bayerischer Wald;93474;9943;Bayern
Arras;b Rochlitz;9326;37382;Sachsen
Artamhof;;66849;6371;Rheinland-Pfalz
Artern;;6556;3466;Thüringen
Artlenburg;;21380;4153;Niedersachsen
Arzbach;, Westerw;56337;2603;Rheinland-Pfalz
Arzberg;b Torgau;4886;34222;Sachsen
Arzberg;, Oberfr;95659;9233;Bayern
Arzfeld;;54687;6550;Rheinland-Pfalz
Asbach;, Westerw;53567;2683;Rheinland-Pfalz
Asbach;, Hunsrück;55758;6786;Rheinland-Pfalz
Asbach;, Brenz;89522;7321;Baden-Württemberg
Asbach;b Schmalkalden;98574;3683;Thüringen
Asbach-Bäumenheim;;86663;906;Bayern
Asbacherhütte;;55758;6786;Rheinland-Pfalz
Asbach-Sickenberg;;37318;;Thüringen
Ascha;;94347;9961;Bayern
Aschaffenburg;;63739;6021;Bayern
Aschaffenburg;;63741;6021;Bayern
Aschaffenburg;;63743;6021;Bayern
Aschara;;99958;3603;Thüringen
